TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
T00001,C2824,Female,33,Bengaluru,Fashion,3,4479,2023-03-15,Cash,13437,2023-03,Wednesday,26-40
T00002,C1409,Other,20,Pune,Books,5,1051,2023-01-22,Card,5255,2023-01,Sunday,18-25
T00003,C5506,Other,47,Pune,Furniture,1,111,2023-04-18,Wallet,111,2023-04,Tuesday,41-60
T00004,C5012,Other,21,Hyderabad,Groceries,5,2946,2023-08-09,Cash,14730,2023-08,Wednesday,18-25
T00005,C4657,Female,41,Chennai,Sports,1,3123,2023-09-23,Wallet,3123,2023-09,Saturday,41-60
T00006,C3286,Male,63,Delhi,Furniture,2,2758,2023-05-23,Card,5516,2023-05,Tuesday,60+
T00007,C2679,Other,30,Pune,Electronics,5,781,2023-10-22,Card,3905,2023-10,Sunday,26-40
T00008,C9935,Female,35,Hyderabad,Books,5,4599,2023-11-12,Cash,22995,2023-11,Sunday,26-40
T00009,C2424,Female,41,Jaipur,Books,5,2263,2023-06-10,Cash,11315,2023-06,Saturday,41-60
T00010,C7912,Male,70,Lucknow,Groceries,1,1194,2023-02-20,Upi,1194,2023-02,Monday,60+
T00011,C1520,Male,47,Chennai,Books,5,3445,2023-06-27,Card,17225,2023-06,Tuesday,41-60
T00012,C1488,Female,50,Chennai,Sports,5,2515,2023-05-26,Cash,12575,2023-05,Friday,41-60
T00013,C2535,Male,43,Jaipur,Groceries,2,2759,2023-03-26,Wallet,5518,2023-03,Sunday,41-60
T00014,C4582,Other,58,Chennai,Furniture,4,569,2023-03-02,Cash,2276,2023-03,Thursday,41-60
T00015,C4811,Female,25,Pune,Sports,5,185,2023-05-28,Cash,925,2023-05,Sunday,18-25
T00016,C9279,Other,61,Hyderabad,Beauty,1,3012,2023-05-21,Wallet,3012,2023-05,Sunday,60+
T00017,C1434,Female,19,Delhi,Furniture,1,1896,2023-09-07,Wallet,1896,2023-09,Thursday,18-25
T00018,C4257,Other,33,Bengaluru,Fashion,5,2391,2023-08-13,Wallet,11955,2023-08,Sunday,26-40
T00019,C9928,Male,41,Bengaluru,Electronics,2,1547,2023-04-25,Wallet,3094,2023-04,Tuesday,41-60
T00020,C7873,Male,49,Chennai,Books,1,2197,2023-03-28,Card,2197,2023-03,Tuesday,41-60
T00021,C4611,Other,56,Delhi,Electronics,3,228,2023-05-28,Cash,684,2023-05,Sunday,41-60
T00022,C8359,Female,46,Ahmedabad,Fashion,2,4502,2023-05-13,Upi,9004,2023-05,Saturday,41-60
T00023,C5557,Female,29,Lucknow,Groceries,2,4878,2023-11-07,Wallet,9756,2023-11,Tuesday,26-40
T00024,C1106,Other,48,Ahmedabad,Groceries,5,971,2023-02-24,Wallet,4855,2023-02,Friday,41-60
T00025,C3615,Other,55,Chennai,Beauty,4,3229,2023-04-29,Upi,12916,2023-04,Saturday,41-60
T00026,C7924,Male,53,Lucknow,Books,1,2208,2023-12-08,Card,2208,2023-12,Friday,41-60
T00027,C6574,Male,40,Ahmedabad,Beauty,5,4612,2023-05-23,Upi,23060,2023-05,Tuesday,26-40
T00028,C5552,Other,40,Hyderabad,Furniture,5,1788,2023-03-14,Upi,8940,2023-03,Tuesday,26-40
T00029,C3547,Other,28,Kolkata,Electronics,3,3722,2023-02-19,Cash,11166,2023-02,Sunday,26-40
T00030,C4527,Female,34,Mumbai,Beauty,4,1907,2023-04-16,Wallet,7628,2023-04,Sunday,26-40
T00031,C6514,Female,65,Bengaluru,Beauty,5,2756,2023-10-10,Wallet,13780,2023-10,Tuesday,60+
T00032,C2674,Other,62,Mumbai,Groceries,1,2301,2023-09-18,Card,2301,2023-09,Monday,60+
T00033,C2519,Female,23,Jaipur,Furniture,4,1770,2023-03-28,Card,7080,2023-03,Tuesday,18-25
T00034,C7224,Male,36,Mumbai,Fashion,1,4864,2023-01-15,Card,4864,2023-01,Sunday,26-40
T00035,C2584,Female,19,Bengaluru,Furniture,3,3339,2023-11-03,Card,10017,2023-11,Friday,18-25
T00036,C6881,Other,42,Delhi,Beauty,4,1375,2023-01-21,Card,5500,2023-01,Saturday,41-60
T00037,C6635,Male,21,Chennai,Beauty,2,3754,2023-10-04,Card,7508,2023-10,Wednesday,18-25
T00038,C5333,Male,28,Chennai,Fashion,4,1998,2023-10-03,Cash,7992,2023-10,Tuesday,26-40
T00039,C1711,Male,54,Bengaluru,Electronics,1,3654,2023-04-10,Cash,3654,2023-04,Monday,41-60
T00040,C8527,Female,67,Ahmedabad,Electronics,5,3119,2023-01-04,Wallet,15595,2023-01,Wednesday,60+
T00041,C9785,Female,31,Mumbai,Books,3,1315,2023-09-08,Upi,3945,2023-09,Friday,26-40
T00042,C3045,Male,32,Hyderabad,Groceries,4,4024,2023-01-14,Cash,16096,2023-01,Saturday,26-40
T00043,C7201,Male,59,Delhi,Furniture,3,867,2023-07-09,Card,2601,2023-07,Sunday,41-60
T00044,C2291,Female,32,Bengaluru,Electronics,1,4162,2023-04-15,Card,4162,2023-04,Saturday,26-40
T00045,C5803,Female,61,Mumbai,Sports,1,1586,2023-05-25,Upi,1586,2023-05,Thursday,60+
T00046,C6925,Male,31,Ahmedabad,Beauty,1,3863,2023-10-20,Card,3863,2023-10,Friday,26-40
T00047,C4150,Female,35,Hyderabad,Groceries,5,1615,2023-08-07,Upi,8075,2023-08,Monday,26-40
T00048,C2139,Female,59,Kolkata,Sports,2,1542,2023-08-16,Upi,3084,2023-08,Wednesday,41-60
T00049,C1750,Female,44,Pune,Furniture,3,1647,2023-09-24,Wallet,4941,2023-09,Sunday,41-60
T00050,C4733,Female,50,Chennai,Sports,2,4766,2023-03-06,Upi,9532,2023-03,Monday,41-60
T00051,C5741,Other,19,Ahmedabad,Furniture,2,4118,2023-08-21,Card,8236,2023-08,Monday,18-25
T00052,C2307,Other,67,Kolkata,Books,3,1577,2023-06-01,Upi,4731,2023-06,Thursday,60+
T00053,C4814,Other,67,Ahmedabad,Groceries,1,2410,2023-02-26,Wallet,2410,2023-02,Sunday,60+
T00054,C2654,Male,61,Mumbai,Beauty,2,272,2023-12-28,Upi,544,2023-12,Thursday,60+
T00055,C7227,Female,18,Kolkata,Beauty,3,2640,2023-03-03,Card,7920,2023-03,Friday,18-25
T00056,C5554,Other,48,Delhi,Furniture,4,1434,2023-08-16,Cash,5736,2023-08,Wednesday,41-60
T00057,C8428,Female,26,Bengaluru,Beauty,2,1555,2023-08-10,Wallet,3110,2023-08,Thursday,26-40
T00058,C6977,Other,59,Mumbai,Books,1,3329,2023-09-10,Cash,3329,2023-09,Sunday,41-60
T00059,C3664,Male,29,Chennai,Electronics,5,1638,2023-05-15,Card,8190,2023-05,Monday,26-40
T00060,C7065,Male,56,Pune,Groceries,3,668,2023-02-14,Card,2004,2023-02,Tuesday,41-60
T00061,C6820,Other,69,Delhi,Sports,2,1275,2023-03-12,Cash,2550,2023-03,Sunday,60+
T00062,C4432,Male,18,Jaipur,Beauty,1,690,2023-05-23,Card,690,2023-05,Tuesday,18-25
T00063,C5374,Female,32,Ahmedabad,Sports,1,3593,2023-12-09,Cash,3593,2023-12,Saturday,26-40
T00064,C2169,Female,34,Bengaluru,Electronics,3,2109,2023-03-01,Card,6327,2023-03,Wednesday,26-40
T00065,C3803,Male,56,Hyderabad,Books,4,3827,2023-07-01,Card,15308,2023-07,Saturday,41-60
